campaign_id,campaign_name,channel,region,start_date,end_date,impressions,clicks,spend_idr,conversions,revenue_idr
CMP0060,New Store Opening,Instagram,Medan,3/14/2022,3/22/2022,163239,17585,17223267,1081,78637841
CMP0061,Cashback 50%,Google Ads,Surabaya,2/27/2023,3/10/2023,65490,2573,3682408,129,10858870
CMP0062,Buy 1 Get 1,Email,Jakarta,12/2/2024,12/17/2024,150968,13685,12210667,781,34879301
CMP0063,Valentine Promo,Instagram,Yogyakarta,7/29/2024,8/16/2024,113892,16123,11389407,3245,241979374
CMP0064,End Year Treat,Google Ads,Medan,3/4/2024,3/25/2024,198658,19250,12938278,2699,106527492
CMP0065,Ramadan Deals,In-App Banner,Yogyakarta,12/30/2024,1/14/2025,43318,2920,22421194,858,44974957
CMP0066,Valentine Promo,Email,Bandung,7/25/2022,8/2/2022,47322,5148,9091011,1968,49716100
CMP0067,Valentine Promo,Instagram,Yogyakarta,9/4/2023,9/19/2023,22425,542,13162185,29,915601
CMP0068,Cashback 50%,Instagram,Medan,4/18/2022,4/29/2022,62829,3983,18705326,1248,118578846
CMP0069,Valentine Promo,Shopee Ads,Jakarta,4/3/2023,4/24/2023,151389,12490,9878952,4442,310117774
CMP0070,Coffee Festival,Email,Surabaya,10/2/2023,10/13/2023,143687,2839,11194690,487,42142237
CMP0071,Cashback 50%,TikTok,Jakarta,10/10/2022,10/31/2022,141100,10623,5956878,3763,233027677
CMP0072,Valentine Promo,TikTok,Surabaya,8/26/2024,9/4/2024,24185,2298,11801303,799,70307182
CMP0073,Cashback 50%,TikTok,Bandung,9/25/2023,10/5/2023,166688,12374,24361085,3616,178872384
CMP0074,End Year Treat,Shopee Ads,Medan,12/16/2024,12/28/2024,113587,4640,17768505,347,15506356
CMP0075,Loyalty Points Boost,TikTok,Yogyakarta,8/8/2022,8/16/2022,170453,25057,2524505,8145,306033271
CMP0076,Ramadan Deals,In-App Banner,Medan,8/19/2024,9/6/2024,49431,6197,20086466,1744,73349156
CMP0077,Cashback 50%,Google Ads,Jakarta,10/3/2022,10/12/2022,66019,5050,12024569,453,18096220
CMP0078,Buy 1 Get 1,TikTok,Yogyakarta,7/10/2023,7/21/2023,32863,3923,10771405,366,33562671
CMP0079,Buy 1 Get 1,In-App Banner,Medan,5/29/2023,6/6/2023,58983,8579,29992000,608,23329599
CMP0080,End Year Treat,Instagram,Jakarta,9/26/2022,10/7/2022,110698,14769,2225718,5201,210731370
CMP0081,End Year Treat,Email,Medan,6/5/2023,6/12/2023,118001,5149,15478795,1877,177606434
CMP0082,Loyalty Points Boost,In-App Banner,Jakarta,5/13/2024,5/23/2024,104305,7739,28355685,3058,285333433
CMP0083,Ramadan Deals,Email,Jakarta,8/7/2023,8/15/2023,152968,17268,13827336,6892,514054044
CMP0084,End Year Treat,In-App Banner,Bandung,10/17/2022,11/6/2022,30937,2004,24085030,125,6861115
CMP0085,Loyalty Points Boost,Google Ads,Medan,1/2/2023,1/13/2023,174983,4272,7620106,295,6799829
CMP0086,Buy 1 Get 1,Shopee Ads,Surabaya,11/7/2022,11/22/2022,168729,20441,19399671,6129,531202950
CMP0087,Flash Sale,Instagram,Medan,9/9/2024,9/22/2024,197435,19698,23939903,5553,286172738
CMP0088,Flash Sale,TikTok,Surabaya,4/18/2022,4/26/2022,69509,8453,22537755,1962,154274215
CMP0089,Valentine Promo,Instagram,Medan,4/10/2023,4/27/2023,74976,9306,5918157,2052,149538257
CMP0090,Free Delivery,In-App Banner,Surabaya,8/26/2024,9/13/2024,66899,3350,27440281,989,21720613
CMP0091,Buy 1 Get 1,Email,Bandung,8/7/2023,8/16/2023,192880,22752,8066559,7240,468436372
CMP0092,End Year Treat,Email,Bandung,10/2/2023,10/16/2023,85341,7544,21762884,904,42287684
CMP0093,Buy 1 Get 1,Shopee Ads,Jakarta,7/25/2022,8/10/2022,126511,11042,17697483,668,50904217
CMP0094,Flash Sale,In-App Banner,Bandung,10/14/2024,10/28/2024,133327,4851,2822364,1406,38829300
CMP0095,Flash Sale,TikTok,Bandung,11/14/2022,11/29/2022,194177,9355,29129245,3373,276091650
CMP0096,Ramadan Deals,In-App Banner,Medan,8/22/2022,9/4/2022,21909,2534,17710137,832,67630851
CMP0097,Loyalty Points Boost,Shopee Ads,Yogyakarta,10/7/2024,10/26/2024,180845,14409,7643034,4991,166506978
CMP0098,Buy 1 Get 1,Email,Yogyakarta,6/20/2022,6/28/2022,184733,9984,20408153,1365,127718071
CMP0099,Loyalty Points Boost,Google Ads,Surabaya,7/29/2024,8/12/2024,132661,12203,2604910,4779,417811435
CMP0100,Flash Sale,TikTok,Medan,12/5/2022,12/20/2022,161643,7088,8735489,836,26050140
CMP0101,End Year Treat,TikTok,Surabaya,5/8/2023,5/23/2023,47216,1972,25665685,308,11983983
CMP0102,Free Delivery,Email,Jakarta,5/23/2022,6/13/2022,62006,5480,25763053,624,44893248
CMP0103,Flash Sale,Google Ads,Yogyakarta,8/8/2022,8/19/2022,159868,7658,5666855,1433,31890462
CMP0104,Cashback 50%,TikTok,Medan,6/3/2024,6/12/2024,45941,3813,8991057,1137,41327794
CMP0105,Loyalty Points Boost,Email,Medan,9/5/2022,9/13/2022,147607,21604,19007271,5461,441702863
CMP0106,Loyalty Points Boost,TikTok,Yogyakarta,1/8/2024,1/19/2024,70849,4880,27898289,618,60663352
CMP0107,End Year Treat,Email,Bandung,9/26/2022,10/4/2022,195031,17505,12338845,5427,281552501
CMP0108,Cashback 50%,Shopee Ads,Yogyakarta,6/17/2024,6/27/2024,143083,4019,16193576,1027,62900976
CMP0109,Valentine Promo,Shopee Ads,Medan,12/2/2024,12/12/2024,117311,11377,8791995,3798,311946404
CMP0110,End Year Treat,In-App Banner,Jakarta,6/12/2023,6/27/2023,156627,9733,2031196,1440,51448488
CMP0111,Cashback 50%,In-App Banner,Medan,12/2/2024,12/10/2024,170313,15047,25130404,2631,53427004
CMP0112,Coffee Festival,Shopee Ads,Medan,3/18/2024,4/6/2024,144035,10148,15421181,728,35740809
CMP0113,Cashback 50%,Email,Yogyakarta,11/20/2023,12/6/2023,98941,13741,18024959,3265,301950422
CMP0114,Flash Sale,Google Ads,Jakarta,9/19/2022,9/29/2022,140722,6946,28828066,2710,172981286
CMP0115,Flash Sale,Instagram,Bandung,11/7/2022,11/19/2022,110917,4225,26270156,1608,128718602
CMP0116,New Store Opening,TikTok,Surabaya,9/23/2024,10/4/2024,47258,1717,11248298,499,44933750
CMP0117,End Year Treat,TikTok,Medan,11/27/2023,12/15/2023,190478,28502,20552509,5593,398541033
CMP0118,Free Delivery,Instagram,Bandung,10/31/2022,11/17/2022,119740,12015,9342197,2432,101928195
CMP0119,New Store Opening,Google Ads,Medan,6/12/2023,6/29/2023,89516,4167,20908357,1270,87547501
CMP0120,Coffee Festival,TikTok,Medan,12/30/2024,1/20/2025,31961,4396,27394768,784,46047684
CMP0121,Valentine Promo,Google Ads,Bandung,9/26/2022,10/13/2022,147807,18096,16708813,6338,382695367
CMP0122,Cashback 50%,Shopee Ads,Bandung,5/30/2022,6/6/2022,143126,11131,16413093,1845,95682949
CMP0123,Ramadan Deals,Instagram,Jakarta,12/9/2024,12/17/2024,198869,10300,12340115,1938,182477894
CMP0124,Flash Sale,TikTok,Medan,7/11/2022,7/27/2022,93444,12775,25554151,4097,177846999
CMP0125,Buy 1 Get 1,Google Ads,Jakarta,1/3/2022,1/22/2022,73168,1892,5961249,253,12939855
CMP0126,New Store Opening,Instagram,Yogyakarta,9/30/2024,10/10/2024,23988,2775,22462458,660,34445887
CMP0127,Buy 1 Get 1,In-App Banner,Medan,5/20/2024,6/4/2024,150930,3564,13286670,330,27853472
CMP0128,End Year Treat,TikTok,Yogyakarta,7/18/2022,8/8/2022,95173,6358,25892594,2504,191081720
CMP0129,New Store Opening,Instagram,Jakarta,9/2/2024,9/18/2024,30005,4406,27046533,363,29999107
CMP0130,Loyalty Points Boost,In-App Banner,Surabaya,10/3/2022,10/21/2022,175572,23537,16877469,4912,285707219
CMP0131,End Year Treat,TikTok,Yogyakarta,12/4/2023,12/15/2023,18404,1004,11772168,81,5626965
CMP0132,Flash Sale,Email,Surabaya,4/4/2022,4/12/2022,109575,4537,29992055,1029,80263028
CMP0133,Loyalty Points Boost,Instagram,Jakarta,5/29/2023,6/7/2023,32385,568,7296370,75,4512448
CMP0134,Valentine Promo,Google Ads,Jakarta,10/3/2022,10/19/2022,130179,13869,20112423,3144,78622431
CMP0135,Flash Sale,Shopee Ads,Jakarta,7/18/2022,7/29/2022,59565,8001,24832631,1516,147848097
CMP0136,Free Delivery,Google Ads,Jakarta,10/3/2022,10/15/2022,100851,4841,28546119,541,50634998
CMP0137,Cashback 50%,In-App Banner,Jakarta,8/22/2022,9/8/2022,195792,16427,22267592,2773,126210978
CMP0138,Buy 1 Get 1,In-App Banner,Bandung,4/18/2022,5/3/2022,189325,13628,13872210,2296,104345288
CMP0139,Free Delivery,Email,Surabaya,7/31/2023,8/18/2023,37398,4342,28781365,825,65522038
CMP0140,End Year Treat,Email,Bandung,11/13/2023,11/20/2023,76594,2409,28657200,926,48460306
CMP0141,Coffee Festival,Google Ads,Jakarta,1/1/2024,1/9/2024,128192,3525,15522833,682,34626579
CMP0142,Buy 1 Get 1,In-App Banner,Bandung,11/6/2023,11/24/2023,147704,19274,24118876,5244,505559021
CMP0143,Cashback 50%,Shopee Ads,Surabaya,7/24/2023,8/11/2023,148737,5925,25051302,830,75652285
CMP0144,Buy 1 Get 1,TikTok,Medan,5/9/2022,5/23/2022,33022,2639,18353616,998,45862179
CMP0145,Buy 1 Get 1,Instagram,Jakarta,11/28/2022,12/5/2022,167859,24498,5114337,3943,359934599
CMP0146,Coffee Festival,Instagram,Medan,11/18/2024,11/26/2024,196816,6411,14282726,732,44616341
CMP0147,End Year Treat,In-App Banner,Jakarta,4/1/2024,4/9/2024,81727,9402,10025998,732,24633414
CMP0148,Cashback 50%,Email,Jakarta,7/31/2023,8/9/2023,139841,5229,21136077,281,17489945
CMP0149,Coffee Festival,Email,Surabaya,1/3/2022,1/17/2022,160510,9994,13524010,2855,188477760
CMP0150,New Store Opening,Google Ads,Jakarta,9/2/2024,9/15/2024,24242,2716,13422375,1071,93108913
CMP0151,Ramadan Deals,In-App Banner,Surabaya,4/4/2022,4/20/2022,69436,1798,17755965,286,21680541
CMP0152,Coffee Festival,Instagram,Yogyakarta,8/1/2022,8/20/2022,182815,9895,10131593,1580,128325734
CMP0153,Buy 1 Get 1,TikTok,Jakarta,6/26/2023,7/7/2023,184832,27233,25053896,8267,230630795
CMP0154,Free Delivery,Email,Surabaya,10/10/2022,10/29/2022,135091,4173,5376890,370,26843155
CMP0155,Buy 1 Get 1,In-App Banner,Surabaya,5/22/2023,5/29/2023,114390,16642,7601685,4536,311388208
CMP0156,Valentine Promo,In-App Banner,Jakarta,1/31/2022,2/14/2022,162804,12817,26778697,1196,76216055
CMP0157,Coffee Festival,Google Ads,Jakarta,8/28/2023,9/17/2023,190524,15050,11482134,3391,220238835
CMP0158,New Store Opening,Shopee Ads,Yogyakarta,5/20/2024,6/1/2024,58084,8155,22923753,2171,211859895
CMP0159,End Year Treat,In-App Banner,Jakarta,11/13/2023,11/20/2023,126032,12194,8703841,1344,128617160
CMP0160,Valentine Promo,Email,Medan,1/23/2023,2/11/2023,77808,2789,15351321,274,10362261
CMP0161,Loyalty Points Boost,Email,Medan,12/16/2024,1/2/2025,88934,10119,15879350,2680,119786572
CMP0162,Cashback 50%,In-App Banner,Bandung,1/31/2022,2/7/2022,171914,7165,20836516,2438,194788748
CMP0163,End Year Treat,Google Ads,Medan,12/16/2024,12/28/2024,177740,22097,27149091,2897,273757052
CMP0164,Buy 1 Get 1,Instagram,Medan,11/28/2022,12/14/2022,171295,15625,7022727,5563,493024845
CMP0165,Cashback 50%,In-App Banner,Yogyakarta,4/4/2022,4/25/2022,117196,3631,21246983,594,53767416
CMP0166,New Store Opening,Email,Yogyakarta,8/12/2024,9/2/2024,145954,19884,3104304,4120,112502339
CMP0167,Ramadan Deals,Email,Jakarta,9/30/2024,10/8/2024,12644,375,15955366,107,9642270
CMP0168,Cashback 50%,In-App Banner,Yogyakarta,5/30/2022,6/11/2022,75406,9276,26813978,3433,104200292
CMP0169,Free Delivery,Email,Yogyakarta,7/3/2023,7/11/2023,52824,4579,18781165,1737,113340553
CMP0170,Valentine Promo,Shopee Ads,Yogyakarta,10/31/2022,11/9/2022,79754,9975,25755041,2292,155776298
CMP0171,Loyalty Points Boost,Google Ads,Bandung,1/2/2023,1/16/2023,185350,15290,14171011,1143,61445072
CMP0172,Loyalty Points Boost,Instagram,Surabaya,4/1/2024,4/9/2024,108046,13259,20127714,4337,213869810
CMP0173,Flash Sale,Instagram,Medan,3/18/2024,4/2/2024,141403,3320,8781255,1155,57185337
CMP0174,End Year Treat,In-App Banner,Bandung,12/4/2023,12/21/2023,90118,3519,22924540,304,10288818
CMP0175,Cashback 50%,TikTok,Bandung,4/18/2022,5/8/2022,63682,5922,17976908,642,62969590
CMP0176,End Year Treat,Email,Bandung,11/25/2024,12/7/2024,102859,3983,4109197,521,20379890
CMP0177,Flash Sale,Google Ads,Yogyakarta,10/24/2022,11/1/2022,103332,12555,18903699,4578,284630938
CMP0178,Ramadan Deals,Google Ads,Bandung,10/24/2022,11/3/2022,71273,5521,24212570,1149,44761282
CMP0179,Ramadan Deals,Google Ads,Bandung,8/1/2022,8/15/2022,50246,3636,13357316,677,50818052
CMP0180,Ramadan Deals,Instagram,Surabaya,9/26/2022,10/4/2022,87846,2138,14210477,520,31013599
CMP0181,Cashback 50%,Instagram,Surabaya,10/7/2024,10/14/2024,38300,766,10570630,48,1991384
CMP0182,Loyalty Points Boost,Email,Bandung,10/2/2023,10/21/2023,146987,17542,23379663,5471,398459684
CMP0183,Buy 1 Get 1,In-App Banner,Bandung,11/7/2022,11/28/2022,149068,5333,10507260,940,50713826
CMP0184,Ramadan Deals,In-App Banner,Surabaya,2/13/2023,2/28/2023,95517,4985,21134141,627,36591203
CMP0185,Flash Sale,Email,Bandung,4/22/2024,5/9/2024,52248,7721,10600838,1770,128357931
CMP0186,End Year Treat,Google Ads,Yogyakarta,5/13/2024,5/24/2024,94626,3293,18575487,271,17762974
CMP0187,Free Delivery,In-App Banner,Surabaya,8/5/2024,8/25/2024,194752,5711,18801950,824,40127331
CMP0188,Buy 1 Get 1,TikTok,Medan,2/5/2024,2/16/2024,13895,402,6212717,67,5696457
CMP0189,Cashback 50%,Shopee Ads,Surabaya,4/11/2022,4/30/2022,141548,15748,16729208,865,54912044
CMP0190,End Year Treat,Shopee Ads,Medan,3/7/2022,3/16/2022,17432,964,5767132,74,3807244
CMP0191,End Year Treat,TikTok,Jakarta,7/17/2023,7/25/2023,153896,10205,17236505,2469,160921241
CMP0192,Coffee Festival,Google Ads,Bandung,11/18/2024,11/25/2024,133987,16594,23925042,1008,51384920
CMP0193,End Year Treat,Shopee Ads,Surabaya,7/1/2024,7/18/2024,74278,7345,7863510,1499,103535215
CMP0194,Buy 1 Get 1,TikTok,Yogyakarta,10/14/2024,10/31/2024,103885,5313,14301166,630,42387970
CMP0195,New Store Opening,Google Ads,Medan,7/17/2023,8/4/2023,60232,8929,21361452,3193,171096177
CMP0196,Valentine Promo,TikTok,Jakarta,1/22/2024,2/3/2024,171277,8983,4671896,1813,99032835
CMP0197,End Year Treat,TikTok,Surabaya,12/11/2023,12/27/2023,164991,2694,6265712,760,54913744
CMP0198,Flash Sale,Instagram,Jakarta,6/6/2022,6/21/2022,66766,8035,3875147,2654,248911675
CMP0199,Valentine Promo,TikTok,Bandung,7/10/2023,7/24/2023,59579,2229,4755723,314,28736628
CMP0200,Ramadan Deals,Shopee Ads,Yogyakarta,6/13/2022,6/21/2022,147550,19337,19788971,3033,285179221
CMP0201,New Store Opening,Google Ads,Yogyakarta,1/24/2022,2/2/2022,97236,4038,11252198,699,26163487
CMP0202,Coffee Festival,Email,Bandung,12/18/2023,12/27/2023,195643,6047,14159097,2323,97831377
CMP0203,Valentine Promo,Shopee Ads,Bandung,5/2/2022,5/22/2022,71422,10389,13735461,2360,103506187
CMP0204,Loyalty Points Boost,Google Ads,Jakarta,5/8/2023,5/22/2023,135971,8081,28179986,1729,74769768
CMP0205,Cashback 50%,Google Ads,Medan,1/16/2023,1/29/2023,100609,12132,27759227,3321,324773756
CMP0206,Cashback 50%,Shopee Ads,Yogyakarta,8/19/2024,9/7/2024,26710,1496,5370773,77,1554476
CMP0207,Flash Sale,Instagram,Bandung,12/25/2023,1/11/2024,125490,2331,20442387,419,22600793
CMP0208,Buy 1 Get 1,Shopee Ads,Bandung,9/23/2024,10/13/2024,67267,7065,12757634,2163,74727049
CMP0209,Cashback 50%,TikTok,Yogyakarta,6/24/2024,7/9/2024,31481,600,13733530,203,11897718
CMP0210,Buy 1 Get 1,TikTok,Yogyakarta,2/27/2023,3/12/2023,166655,11129,8648225,2392,91247439
CMP0211,End Year Treat,In-App Banner,Medan,1/24/2022,2/12/2022,23383,1432,2511424,84,2250354
CMP0212,Free Delivery,Email,Medan,9/18/2023,10/1/2023,11803,1236,6563070,346,8604482
CMP0213,Cashback 50%,TikTok,Bandung,3/20/2023,4/8/2023,10529,1179,7027003,215,4656407
CMP0214,Loyalty Points Boost,TikTok,Surabaya,5/15/2023,6/3/2023,166811,5240,29486250,1107,88956617
CMP0215,Free Delivery,Shopee Ads,Surabaya,12/5/2022,12/17/2022,77079,5669,20724857,1720,63351213
CMP0216,Cashback 50%,In-App Banner,Jakarta,5/30/2022,6/7/2022,73802,6058,3406603,1639,49848874
CMP0217,End Year Treat,Instagram,Medan,7/22/2024,8/5/2024,41139,3558,5639509,899,51430143
CMP0218,End Year Treat,Instagram,Surabaya,8/19/2024,8/27/2024,153749,3926,24295739,1563,79131666
CMP0219,Valentine Promo,TikTok,Surabaya,10/28/2024,11/6/2024,185794,5759,23275880,2220,201671746
CMP0220,Buy 1 Get 1,Email,Yogyakarta,11/6/2023,11/18/2023,158617,19184,6839297,1602,69421701
CMP0221,Flash Sale,TikTok,Bandung,5/27/2024,6/16/2024,133574,1907,20515648,155,5514851
CMP0222,New Store Opening,Email,Yogyakarta,11/20/2023,11/28/2023,187936,24588,25792064,2354,156937756
CMP0223,Loyalty Points Boost,TikTok,Bandung,6/26/2023,7/12/2023,57197,7345,3532553,2644,116322793
CMP0224,Ramadan Deals,Google Ads,Jakarta,5/8/2023,5/24/2023,43431,5421,26618891,282,17713470
CMP0225,Valentine Promo,Email,Yogyakarta,4/1/2024,4/17/2024,112324,15991,28850459,6051,430213963
CMP0226,Ramadan Deals,Instagram,Yogyakarta,12/18/2023,1/6/2024,97629,2741,15558984,262,11506654
CMP0227,Valentine Promo,Shopee Ads,Yogyakarta,1/3/2022,1/17/2022,177461,6869,5740408,2185,86041382
CMP0228,Free Delivery,Shopee Ads,Medan,5/8/2023,5/21/2023,95176,2002,5328414,100,5797795
CMP0229,Ramadan Deals,TikTok,Yogyakarta,3/13/2023,3/31/2023,17005,782,16254761,272,14812029
CMP0230,Loyalty Points Boost,TikTok,Medan,5/29/2023,6/7/2023,16569,1658,19775500,529,19494946
CMP0231,End Year Treat,TikTok,Medan,5/27/2024,6/9/2024,45131,5628,13274318,645,17300363
CMP0232,Flash Sale,TikTok,Surabaya,4/11/2022,4/23/2022,15415,1301,9081136,376,26445186
CMP0233,Cashback 50%,TikTok,Surabaya,12/26/2022,1/9/2023,136470,10165,21852734,1848,106139896
CMP0234,End Year Treat,Instagram,Bandung,8/22/2022,9/2/2022,156603,9793,9839968,3736,170112019
CMP0235,Cashback 50%,In-App Banner,Surabaya,7/15/2024,7/29/2024,199880,13621,17793796,2816,84020844
CMP0236,Buy 1 Get 1,Shopee Ads,Surabaya,12/9/2024,12/17/2024,81015,2633,21044292,1037,32058200
CMP0237,New Store Opening,Email,Yogyakarta,10/21/2024,11/5/2024,163357,3946,5775580,1357,115158068
CMP0238,End Year Treat,Instagram,Jakarta,10/14/2024,11/3/2024,169855,11577,20937177,2938,62329224
CMP0239,Ramadan Deals,TikTok,Jakarta,7/25/2022,8/12/2022,35764,1786,28907700,669,64846202
CMP0240,Cashback 50%,Instagram,Jakarta,4/11/2022,4/23/2022,186393,24661,16024851,2151,158044800
CMP0241,Free Delivery,Google Ads,Yogyakarta,8/5/2024,8/16/2024,54065,7348,22406834,1811,94149401
CMP0242,Coffee Festival,Shopee Ads,Yogyakarta,7/1/2024,7/19/2024,92469,1634,3178572,397,35134239
CMP0243,End Year Treat,Email,Bandung,7/18/2022,7/31/2022,171736,25742,24257750,5908,429839237
CMP0244,Ramadan Deals,Instagram,Yogyakarta,8/21/2023,9/3/2023,77075,5277,21524755,1942,55899732
CMP0245,Buy 1 Get 1,Google Ads,Jakarta,1/22/2024,2/12/2024,75617,9041,11549514,1346,116096511
CMP0246,Buy 1 Get 1,Shopee Ads,Surabaya,8/7/2023,8/22/2023,96320,1756,22046756,347,28859608
CMP0247,Flash Sale,In-App Banner,Yogyakarta,12/18/2023,12/25/2023,185675,12530,7980360,4357,130352625
